,lr,n_epochs,n_hidden,n_units,acccuracy,val_accuracy
0,0.01,12,1,10,0.9309666752815247,0.9319000244140625
1,0.01,12,1,25,0.9602333307266235,0.9509000182151794
2,0.01,12,1,50,0.9781333208084106,0.9664000272750854
3,0.01,12,5,10,0.9092666506767273,0.9107000231742859
4,0.01,12,5,25,0.9626333117485046,0.9523000121116638
5,0.01,12,5,50,0.9738333225250244,0.9610000252723694
6,0.01,12,10,10,0.8450833559036255,0.8374999761581421
7,0.01,12,10,25,0.38659998774528503,0.41350001096725464
8,0.01,12,10,50,0.47378334403038025,0.49149999022483826
9,0.01,24,1,10,0.9412000179290771,0.9350000023841858
10,0.01,24,1,25,0.9740333557128906,0.9573000073432922
11,0.01,24,1,50,0.9839333295822144,0.9645000100135803
12,0.01,24,5,10,0.9216333627700806,0.9179999828338623
13,0.01,24,5,25,0.9638000130653381,0.9587000012397766
14,0.01,24,5,50,,
15,0.01,24,10,10,,
16,0.01,24,10,25,,
17,0.01,24,10,50,,
18,0.001,12,1,10,,
19,0.001,12,1,25,,
20,0.001,12,1,50,,
21,0.001,12,5,10,,
22,0.001,12,5,25,,
23,0.001,12,5,50,,
24,0.001,12,10,10,,
25,0.001,12,10,25,,
26,0.001,12,10,50,,
27,0.001,24,1,10,,
28,0.001,24,1,25,,
29,0.001,24,1,50,,
30,0.001,24,5,10,,
31,0.001,24,5,25,,
32,0.001,24,5,50,,
33,0.001,24,10,10,,
34,0.001,24,10,25,,
35,0.001,24,10,50,,
36,0.0001,12,1,10,,
37,0.0001,12,1,25,,
38,0.0001,12,1,50,,
39,0.0001,12,5,10,,
40,0.0001,12,5,25,,
41,0.0001,12,5,50,,
42,0.0001,12,10,10,,
43,0.0001,12,10,25,,
44,0.0001,12,10,50,,
45,0.0001,24,1,10,,
46,0.0001,24,1,25,,
47,0.0001,24,1,50,,
48,0.0001,24,5,10,,
49,0.0001,24,5,25,,
50,0.0001,24,5,50,,
51,0.0001,24,10,10,,
52,0.0001,24,10,25,,
53,0.0001,24,10,50,,
